volume,pressure,product,inverse
48,29.125,1398,0.034335
46,30.5625,1405.875,0.03272
44,31.9375,1405.25,0.031311
42,33.5,1407,0.029851
40,35.3125,1412.5,0.028319
38,37,1406,0.027027
36,39.3125,1415.25,0.025437
34,41.625,1415.25,0.024024
32,44.1875,1414,0.022631
30,47.0625,1411.875,0.021248
28,50.3125,1408.75,0.019876
26,54.3125,1412.125,0.018412
24,58.8125,1411.5,0.017003
23,61.3125,1410.1875,0.01631
22,64.0625,1409.375,0.01561
21,67.0625,1408.3125,0.014911
20,70.6875,1413.75,0.014147
19,74.125,1408.375,0.013491
18,77.875,1401.75,0.012841
17,82.75,1406.75,0.012085
16,87.875,1406,0.01138
15,93.0625,1395.9375,0.010745
14,100.438,1406.125,0.009956
13,107.813,1401.5625,0.009275
12,117.563,1410.75,0.008506